CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
23.6482,0.0,18.1,0.0,0.671,6.38,96.2,1.3861,24,666,20.2,396.9,23.69
3.56868,0.0,18.1,0.0,0.58,6.437,75.0,2.8965,24,666,20.2,393.37,14.36
0.537,0.0,6.2,0.0,0.504,5.981,68.1,3.6715,8,307,17.4,378.35,11.65
4.0974,0.0,19.58,0.0,0.871,5.468,100.0,1.4118,5,403,14.7,396.9,26.42
3.67367,0.0,18.1,0.0,0.583,6.312,51.9,3.9917,24,666,20.2,388.62,10.58
0.03578,20.0,3.33,0.0,0.4429,7.82,64.5,4.6947,5,216,14.9,387.31,3.76
0.13914,0.0,4.05,0.0,0.51,5.572,88.5,2.5961,5,296,16.6,396.9,14.69
0.08308,0.0,2.46,0.0,0.488,5.604,89.8,2.9879,3,193,17.8,391.0,13.98
22.5971,0.0,18.1,0.0,0.7,5.0,89.5,1.5184,24,666,20.2,396.9,31.99
0.1415,0.0,6.91,0.0,0.448,6.169,6.6,5.7209,3,233,17.9,383.37,5.81
4.55587,0.0,18.1,0.0,0.718,3.561,87.9,1.6132,24,666,20.2,354.7,7.12
0.29916,20.0,6.96,0.0,0.464,5.856,42.1,4.429,3,223,18.6,388.65,13.0
0.04297,52.5,5.32,0.0,0.405,6.565,22.9,7.3172,6,293,16.6,371.72,9.51
11.8123,0.0,18.1,0.0,0.718,6.824,76.5,1.794,24,666,20.2,48.45,22.74
0.12816,12.5,6.07,0.0,0.409,5.885,33.0,6.498,4,345,18.9,396.9,8.79
0.97617,0.0,21.89,0.0,0.624,5.757,98.4,2.346,4,437,21.2,262.76,17.31
15.0234,0.0,18.1,0.0,0.614,5.304,97.3,2.1007,24,666,20.2,349.48,24.91
0.14052,0.0,10.59,0.0,0.489,6.375,32.3,3.9454,4,277,18.6,385.81,9.38
0.21124,12.5,7.87,0.0,0.524,5.631,100.0,6.0821,5,311,15.2,386.63,29.93
3.67822,0.0,18.1,0.0,0.77,5.362,96.2,2.1036,24,666,20.2,380.79,10.19
18.811,0.0,18.1,0.0,0.597,4.628,100.0,1.5539,24,666,20.2,28.79,34.37
0.62976,0.0,8.14,0.0,0.538,5.949,61.8,4.7075,4,307,21.0,396.9,8.26
0.65665,20.0,3.97,0.0,0.647,6.842,100.0,2.0107,5,264,13.0,391.93,6.9
0.09849,0.0,25.65,0.0,0.581,5.879,95.8,2.0063,2,188,19.1,379.38,17.58
0.11504,0.0,2.89,0.0,0.445,6.163,69.6,3.4952,2,276,18.0,391.83,11.34
0.21038,20.0,3.33,0.0,0.4429,6.812,32.2,4.1007,5,216,14.9,396.9,4.85
0.05515,33.0,2.18,0.0,0.472,7.236,41.1,4.022,7,222,18.4,393.68,6.93
18.0846,0.0,18.1,0.0,0.679,6.434,100.0,1.8347,24,666,20.2,27.25,29.05
0.09065,20.0,6.96,1.0,0.464,5.92,61.5,3.9175,3,223,18.6,391.34,13.65
88.9762,0.0,18.1,0.0,0.671,6.968,91.9,1.4165,24,666,20.2,396.9,17.21
10.8342,0.0,18.1,0.0,0.679,6.782,90.8,1.8195,24,666,20.2,21.57,25.79
0.13262,0.0,8.56,0.0,0.52,5.851,96.7,2.1069,5,384,20.9,394.05,16.47
0.24522,0.0,9.9,0.0,0.544,5.782,71.7,4.0317,4,304,18.4,396.9,15.94
0.09103,0.0,2.46,0.0,0.488,7.155,92.2,2.7006,3,193,17.8,394.12,4.82
13.9134,0.0,18.1,0.0,0.713,6.208,95.0,2.2222,24,666,20.2,100.63,15.17
0.12802,0.0,8.56,0.0,0.52,6.474,97.1,2.4329,5,384,20.9,395.24,12.27
0.03659,25.0,4.86,0.0,0.426,6.302,32.2,5.4007,4,281,19.0,396.9,6.72
1.49632,0.0,19.58,0.0,0.871,5.404,100.0,1.5916,5,403,14.7,341.6,13.28
0.12329,0.0,10.01,0.0,0.547,5.913,92.9,2.3534,6,432,17.8,394.95,16.21
0.06642,0.0,4.05,0.0,0.51,6.86,74.4,2.9153,5,296,16.6,391.27,6.92
9.18702,0.0,18.1,0.0,0.7,5.536,100.0,1.5804,24,666,20.2,396.9,23.6
0.22212,0.0,10.01,0.0,0.547,6.092,95.4,2.548,6,432,17.8,396.9,17.09
0.01096,55.0,2.25,0.0,0.389,6.453,31.9,7.3073,1,300,15.3,394.72,8.23
0.04462,25.0,4.86,0.0,0.426,6.619,70.4,5.4007,4,281,19.0,395.63,7.22
0.95577,0.0,8.14,0.0,0.538,6.047,88.8,4.4534,4,307,21.0,306.38,17.28
0.12269,0.0,6.91,0.0,0.448,6.069,40.0,5.7209,3,233,17.9,389.39,9.55
0.0578,0.0,2.46,0.0,0.488,6.98,58.4,2.829,3,193,17.8,396.9,5.04
2.73397,0.0,19.58,0.0,0.871,5.597,94.9,1.5257,5,403,14.7,351.85,21.45
0.04113,25.0,4.86,0.0,0.426,6.727,33.5,5.4007,4,281,19.0,396.9,5.29
6.44405,0.0,18.1,0.0,0.584,6.425,74.8,2.2004,24,666,20.2,97.95,12.03
24.8017,0.0,18.1,0.0,0.693,5.349,96.0,1.7028,24,666,20.2,396.9,19.77
4.03841,0.0,18.1,0.0,0.532,6.229,90.7,3.0993,24,666,20.2,395.33,12.87
25.0461,0.0,18.1,0.0,0.693,5.987,100.0,1.5888,24,666,20.2,396.9,26.77
0.23912,0.0,9.69,0.0,0.585,6.019,65.3,2.4091,6,391,19.2,396.9,12.92
1.41385,0.0,19.58,1.0,0.871,6.129,96.0,1.7494,5,403,14.7,321.02,15.12
0.06888,0.0,2.46,0.0,0.488,6.144,62.2,2.5979,3,193,17.8,396.9,9.45
0.08265,0.0,13.92,0.0,0.437,6.127,18.4,5.5027,4,289,16.0,396.9,8.58
0.11432,0.0,8.56,0.0,0.52,6.781,71.3,2.8561,5,384,20.9,395.58,7.67
8.79212,0.0,18.1,0.0,0.584,5.565,70.6,2.0635,24,666,20.2,3.65,17.16
0.03548,80.0,3.64,0.0,0.392,5.876,19.1,9.2203,1,315,16.4,395.18,9.25
15.8603,0.0,18.1,0.0,0.679,5.896,95.4,1.9096,24,666,20.2,7.68,24.39
0.1403,22.0,5.86,0.0,0.431,6.487,13.0,7.3967,7,330,19.1,396.28,5.9
0.19186,0.0,7.38,0.0,0.493,6.431,14.7,5.4159,5,287,19.6,393.68,5.08
15.8744,0.0,18.1,0.0,0.671,6.545,99.1,1.5192,24,666,20.2,396.9,21.08
0.44791,0.0,6.2,1.0,0.507,6.726,66.5,3.6519,8,307,17.4,360.2,8.05
0.08221,22.0,5.86,0.0,0.431,6.957,6.8,8.9067,7,330,19.1,386.09,3.53
8.98296,0.0,18.1,1.0,0.77,6.212,97.4,2.1222,24,666,20.2,377.73,17.6
0.00906,90.0,2.97,0.0,0.4,7.088,20.8,7.3073,1,285,15.3,394.72,7.85
0.04301,80.0,1.91,0.0,0.413,5.663,21.9,10.5857,4,334,22.0,382.8,8.05
1.27346,0.0,19.58,1.0,0.605,6.25,92.6,1.7984,5,403,14.7,338.92,5.5
0.17142,0.0,6.91,0.0,0.448,5.682,33.8,5.1004,3,233,17.9,396.9,10.21
0.62739,0.0,8.14,0.0,0.538,5.834,56.5,4.4986,4,307,21.0,395.62,8.47
0.05497,0.0,5.19,0.0,0.515,5.985,45.4,4.8122,5,224,20.2,396.9,9.74
0.51183,0.0,6.2,0.0,0.507,7.358,71.6,4.148,8,307,17.4,390.07,4.73
4.22239,0.0,18.1,1.0,0.77,5.803,89.0,1.9047,24,666,20.2,353.04,14.64
0.55778,0.0,21.89,0.0,0.624,6.335,98.2,2.1107,4,437,21.2,394.67,16.96
0.41238,0.0,6.2,0.0,0.504,7.163,79.9,3.2157,8,307,17.4,372.08,6.36
13.6781,0.0,18.1,0.0,0.74,5.935,87.9,1.8206,24,666,20.2,68.95,34.02
0.24103,0.0,7.38,0.0,0.493,6.083,43.7,5.4159,5,287,19.6,396.9,12.79
1.62864,0.0,21.89,0.0,0.624,5.019,100.0,1.4394,4,437,21.2,396.9,34.41
13.0751,0.0,18.1,0.0,0.58,5.713,56.7,2.8237,24,666,20.2,396.9,14.76
0.0187,85.0,4.15,0.0,0.429,6.516,27.7,8.5353,4,351,17.9,392.43,6.36
0.15086,0.0,27.74,0.0,0.609,5.454,92.7,1.8209,4,711,20.1,395.09,18.06
3.83684,0.0,18.1,0.0,0.77,6.251,91.1,2.2955,24,666,20.2,350.65,14.19
3.69311,0.0,18.1,0.0,0.713,6.376,88.4,2.5671,24,666,20.2,391.43,14.65
0.13587,0.0,10.59,1.0,0.489,6.064,59.1,4.2392,4,277,18.6,381.32,14.66
0.40202,0.0,9.9,0.0,0.544,6.382,67.2,3.5325,4,304,18.4,395.21,10.36
2.44953,0.0,19.58,0.0,0.605,6.402,95.2,2.2625,5,403,14.7,330.04,11.32
0.01439,60.0,2.93,0.0,0.401,6.604,18.8,6.2196,1,265,15.6,376.7,4.38
0.01538,90.0,3.75,0.0,0.394,7.454,34.2,6.3361,3,244,15.9,386.34,3.11
0.36894,22.0,5.86,0.0,0.431,8.259,8.4,8.9067,7,330,19.1,396.9,3.54
0.2896,0.0,9.69,0.0,0.585,5.39,72.9,2.7986,6,391,19.2,396.9,21.14
0.02729,0.0,7.07,0.0,0.469,7.185,61.1,4.9671,2,242,17.8,392.83,4.03
0.53412,20.0,3.97,0.0,0.647,7.52,89.4,2.1398,5,264,13.0,388.37,7.26
0.54452,0.0,21.89,0.0,0.624,6.151,97.9,1.6687,4,437,21.2,396.9,18.46
0.07886,80.0,4.95,0.0,0.411,7.148,27.7,5.1167,4,245,19.2,396.9,3.56
0.06466,70.0,2.24,0.0,0.4,6.345,20.1,7.8278,5,358,14.8,368.24,4.97
1.13081,0.0,8.14,0.0,0.538,5.713,94.1,4.233,4,307,21.0,360.17,22.6
2.77974,0.0,19.58,0.0,0.871,4.903,97.8,1.3459,5,403,14.7,396.9,29.29
24.3938,0.0,18.1,0.0,0.7,4.652,100.0,1.4672,24,666,20.2,396.9,28.28
0.03871,52.5,5.32,0.0,0.405,6.209,31.3,7.3172,6,293,16.6,396.9,7.14
0.03961,0.0,5.19,0.0,0.515,6.037,34.5,5.9853,5,224,20.2,396.9,8.01
0.03427,0.0,5.19,0.0,0.515,5.869,46.3,5.2311,5,224,20.2,396.9,9.8
38.3518,0.0,18.1,0.0,0.693,5.453,100.0,1.4896,24,666,20.2,396.9,30.59
11.1604,0.0,18.1,0.0,0.74,6.629,94.6,2.1247,24,666,20.2,109.85,23.27
1.34284,0.0,19.58,0.0,0.605,6.066,100.0,1.7573,5,403,14.7,353.89,6.43
0.0566,0.0,3.41,0.0,0.489,7.007,86.3,3.4217,2,270,17.8,396.9,5.5
7.40389,0.0,18.1,0.0,0.597,5.617,97.9,1.4547,24,666,20.2,314.64,26.4
1.15172,0.0,8.14,0.0,0.538,5.701,95.0,3.7872,4,307,21.0,358.77,18.35
0.08187,0.0,2.89,0.0,0.445,7.82,36.9,3.4952,2,276,18.0,393.53,3.57
25.9406,0.0,18.1,0.0,0.679,5.304,89.1,1.6475,24,666,20.2,127.36,26.64
0.88125,0.0,21.89,0.0,0.624,5.637,94.7,1.9799,4,437,21.2,396.9,18.34
8.05579,0.0,18.1,0.0,0.584,5.427,95.4,2.4298,24,666,20.2,352.58,18.14
0.35114,0.0,7.38,0.0,0.493,6.041,49.9,4.7211,5,287,19.6,396.9,7.7
2.924,0.0,19.58,0.0,0.605,6.101,93.0,2.2834,5,403,14.7,240.16,9.81
0.25356,0.0,9.9,0.0,0.544,5.705,77.7,3.945,4,304,18.4,396.42,11.5
0.33045,0.0,6.2,0.0,0.507,6.086,61.5,3.6519,8,307,17.4,376.75,10.88
3.47428,0.0,18.1,1.0,0.718,8.78,82.9,1.9047,24,666,20.2,354.55,5.29
0.0136,75.0,4.0,0.0,0.41,5.888,47.6,7.3197,3,469,21.1,396.9,14.8
15.5757,0.0,18.1,0.0,0.58,5.926,71.0,2.9084,24,666,20.2,368.74,18.13
0.08707,0.0,12.83,0.0,0.437,6.14,45.8,4.0905,5,398,18.7,386.96,10.27
11.1081,0.0,18.1,0.0,0.668,4.906,100.0,1.1742,24,666,20.2,396.9,34.77
0.14866,0.0,8.56,0.0,0.52,6.727,79.9,2.7778,5,384,20.9,394.76,9.42
0.26938,0.0,9.9,0.0,0.544,6.266,82.8,3.2628,4,304,18.4,393.39,7.9
0.09252,30.0,4.93,0.0,0.428,6.606,42.2,6.1899,6,300,16.6,383.78,7.37
0.03551,25.0,4.86,0.0,0.426,6.167,46.7,5.4007,4,281,19.0,390.64,7.51
0.01778,95.0,1.47,0.0,0.403,7.135,13.9,7.6534,3,402,17.0,384.3,4.45
1.05393,0.0,8.14,0.0,0.538,5.935,29.3,4.4986,4,307,21.0,386.85,6.58
0.12744,0.0,6.91,0.0,0.448,6.77,2.9,5.7209,3,233,17.9,385.41,4.84
1.38799,0.0,8.14,0.0,0.538,5.95,82.0,3.99,4,307,21.0,232.6,27.71
0.0456,0.0,13.89,1.0,0.55,5.888,56.0,3.1121,5,276,16.4,392.8,13.51
0.07022,0.0,4.05,0.0,0.51,6.02,47.2,3.5549,5,296,16.6,393.23,10.11
4.87141,0.0,18.1,0.0,0.614,6.484,93.6,2.3053,24,666,20.2,396.21,18.68
67.9208,0.0,18.1,0.0,0.693,5.683,100.0,1.4254,24,666,20.2,384.97,22.98
0.01501,90.0,1.21,1.0,0.401,7.923,24.8,5.885,1,198,13.6,395.52,3.16
0.10084,0.0,10.01,0.0,0.547,6.715,81.6,2.6775,6,432,17.8,395.59,10.16
0.17171,25.0,5.13,0.0,0.453,5.966,93.4,6.8185,8,284,19.7,378.08,14.44
0.79041,0.0,9.9,0.0,0.544,6.122,52.8,2.6403,4,304,18.4,396.9,5.98
0.10574,0.0,27.74,0.0,0.609,5.983,98.8,1.8681,4,711,20.1,390.11,18.07
20.0849,0.0,18.1,0.0,0.7,4.368,91.2,1.4395,24,666,20.2,285.83,30.63
0.52693,0.0,6.2,0.0,0.504,8.725,83.0,2.8944,8,307,17.4,382.0,4.63
0.21977,0.0,6.91,0.0,0.448,5.602,62.0,6.0877,3,233,17.9,396.9,16.2
5.29305,0.0,18.1,0.0,0.7,6.051,82.5,2.1678,24,666,20.2,378.38,18.76
0.55007,20.0,3.97,0.0,0.647,7.206,91.6,1.9301,5,264,13.0,387.89,8.1
0.30347,0.0,7.38,0.0,0.493,6.312,28.9,5.4159,5,287,19.6,396.9,6.15
73.5341,0.0,18.1,0.0,0.679,5.957,100.0,1.8026,24,666,20.2,16.45,20.62
0.02985,0.0,2.18,0.0,0.458,6.43,58.7,6.0622,3,222,18.7,394.12,5.21
0.06617,0.0,3.24,0.0,0.46,5.868,25.8,5.2146,4,430,16.9,382.44,9.97
4.75237,0.0,18.1,0.0,0.713,6.525,86.5,2.4358,24,666,20.2,50.92,18.13
0.06899,0.0,25.65,0.0,0.581,5.87,69.7,2.2577,2,188,19.1,389.15,14.37
0.03502,80.0,4.95,0.0,0.411,6.861,27.9,5.1167,4,245,19.2,396.9,3.33
5.58107,0.0,18.1,0.0,0.713,6.436,87.9,2.3158,24,666,20.2,100.19,16.22
0.22188,20.0,6.96,1.0,0.464,7.691,51.8,4.3665,3,223,18.6,390.77,6.58
0.07013,0.0,13.89,0.0,0.55,6.642,85.1,3.4211,5,276,16.4,392.78,9.69
0.14231,0.0,10.01,0.0,0.547,6.254,84.2,2.2565,6,432,17.8,388.74,10.45
0.09604,40.0,6.41,0.0,0.447,6.854,42.8,4.2673,4,254,17.6,396.9,2.98
0.15876,0.0,10.81,0.0,0.413,5.961,17.5,5.2873,4,305,19.2,376.94,9.88
0.01432,100.0,1.32,0.0,0.411,6.816,40.5,8.3248,5,256,15.1,392.9,3.95
0.17505,0.0,5.96,0.0,0.499,5.966,30.2,3.8473,5,279,19.2,393.43,10.13
0.01301,35.0,1.52,0.0,0.442,7.241,49.3,7.0379,1,284,15.5,394.74,5.49
0.61154,20.0,3.97,0.0,0.647,8.704,86.9,1.801,5,264,13.0,389.7,5.12
5.09017,0.0,18.1,0.0,0.713,6.297,91.8,2.3682,24,666,20.2,385.09,17.27
1.35472,0.0,8.14,0.0,0.538,6.072,100.0,4.175,4,307,21.0,376.73,13.04
8.71675,0.0,18.1,0.0,0.693,6.471,98.8,1.7257,24,666,20.2,391.98,17.12
0.05372,0.0,13.92,0.0,0.437,6.549,51.0,5.9604,4,289,16.0,392.85,7.39
0.03738,0.0,5.19,0.0,0.515,6.31,38.5,6.4584,5,224,20.2,389.4,6.75
6.53876,0.0,18.1,1.0,0.631,7.016,97.5,1.2024,24,666,20.2,392.05,2.96
0.0351,95.0,2.68,0.0,0.4161,7.853,33.2,5.118,4,224,14.7,392.78,3.81
10.0623,0.0,18.1,0.0,0.584,6.833,94.3,2.0882,24,666,20.2,81.33,19.69
2.3139,0.0,19.58,0.0,0.605,5.88,97.3,2.3887,5,403,14.7,348.13,12.03
0.09164,0.0,10.81,0.0,0.413,6.065,7.8,5.2873,4,305,19.2,390.91,5.52
2.3004,0.0,19.58,0.0,0.605,6.319,96.1,2.1,5,403,14.7,297.09,11.1
1.42502,0.0,19.58,0.0,0.871,6.51,100.0,1.7659,5,403,14.7,364.31,7.39
0.11747,12.5,7.87,0.0,0.524,6.009,82.9,6.2267,5,311,15.2,396.9,13.27
0.10153,0.0,12.83,0.0,0.437,6.279,74.5,4.0522,5,398,18.7,373.66,11.97
16.8118,0.0,18.1,0.0,0.7,5.277,98.1,1.4261,24,666,20.2,396.9,30.81
0.80271,0.0,8.14,0.0,0.538,5.456,36.6,3.7965,4,307,21.0,288.99,11.69
0.04666,80.0,1.52,0.0,0.404,7.107,36.6,7.309,2,329,12.6,354.31,8.61
0.25387,0.0,6.91,0.0,0.448,5.399,95.3,5.87,3,233,17.9,396.9,30.81
4.42228,0.0,18.1,0.0,0.584,6.003,94.5,2.5403,24,666,20.2,331.29,21.32
51.1358,0.0,18.1,0.0,0.597,5.757,100.0,1.413,24,666,20.2,2.6,10.11
0.10469,40.0,6.41,1.0,0.447,7.267,49.0,4.7872,4,254,17.6,389.25,6.05
3.8497,0.0,18.1,1.0,0.77,6.395,91.0,2.5052,24,666,20.2,391.34,13.27
15.1772,0.0,18.1,0.0,0.74,6.152,100.0,1.9142,24,666,20.2,9.32,26.45
0.04932,33.0,2.18,0.0,0.472,6.849,70.3,3.1827,7,222,18.4,396.9,7.53
0.76162,20.0,3.97,0.0,0.647,5.56,62.8,1.9865,5,264,13.0,392.4,10.45
0.1146,20.0,6.96,0.0,0.464,6.538,58.7,3.9175,3,223,18.6,394.96,7.73
17.8667,0.0,18.1,0.0,0.671,6.223,100.0,1.3861,24,666,20.2,393.74,21.78
5.82115,0.0,18.1,0.0,0.713,6.513,89.9,2.8016,24,666,20.2,393.82,10.29
0.28392,0.0,7.38,0.0,0.493,5.708,74.3,4.7211,5,287,19.6,391.13,11.74
0.27957,0.0,9.69,0.0,0.585,5.926,42.6,2.3817,6,391,19.2,396.9,13.59
0.18337,0.0,27.74,0.0,0.609,5.414,98.3,1.7554,4,711,20.1,344.05,23.97
8.15174,0.0,18.1,0.0,0.7,5.39,98.9,1.7281,24,666,20.2,396.9,20.85
0.02543,55.0,3.78,0.0,0.484,6.696,56.4,5.7321,5,370,17.6,396.9,7.18
0.66351,20.0,3.97,0.0,0.647,7.333,100.0,1.8946,5,264,13.0,383.29,7.79
0.02177,82.5,2.03,0.0,0.415,7.61,15.7,6.27,2,348,14.7,395.38,3.11
0.0536,21.0,5.64,0.0,0.439,6.511,21.1,6.8147,4,243,16.8,396.9,5.28
0.07978,40.0,6.41,0.0,0.447,6.482,32.1,4.1403,4,254,17.6,396.9,7.19
0.33983,22.0,5.86,0.0,0.431,6.108,34.9,8.0555,7,330,19.1,390.18,9.16
7.67202,0.0,18.1,0.0,0.693,5.747,98.9,1.6334,24,666,20.2,393.1,19.92
0.05083,0.0,5.19,0.0,0.515,6.316,38.1,6.4584,5,224,20.2,389.71,5.68
0.25915,0.0,21.89,0.0,0.624,5.693,96.0,1.7883,4,437,21.2,392.11,17.19
0.1265,25.0,5.13,0.0,0.453,6.762,43.4,7.9809,8,284,19.7,395.58,9.5
0.02731,0.0,7.07,0.0,0.469,6.421,78.9,4.9671,2,242,17.8,396.9,9.14
0.10328,25.0,5.13,0.0,0.453,5.927,47.2,6.932,8,284,19.7,396.9,9.22
0.12204,0.0,2.89,0.0,0.445,6.625,57.8,3.4952,2,276,18.0,357.98,6.65
0.82526,20.0,3.97,0.0,0.647,7.327,94.5,2.0788,5,264,13.0,393.42,11.25
0.03359,75.0,2.95,0.0,0.428,7.024,15.8,5.4011,3,252,18.3,395.62,1.98
0.03041,0.0,5.19,0.0,0.515,5.895,59.6,5.615,5,224,20.2,394.81,10.56
0.13117,0.0,8.56,0.0,0.52,6.127,85.2,2.1224,5,384,20.9,387.69,14.09
14.4208,0.0,18.1,0.0,0.74,6.461,93.3,2.0026,24,666,20.2,27.49,18.05
0.11027,25.0,5.13,0.0,0.453,6.456,67.8,7.2255,8,284,19.7,396.9,6.73
0.03306,0.0,5.19,0.0,0.515,6.059,37.3,4.8122,5,224,20.2,396.14,8.51
0.26169,0.0,9.9,0.0,0.544,6.023,90.4,2.834,4,304,18.4,396.3,11.72
0.7842,0.0,8.14,0.0,0.538,5.99,81.7,4.2579,4,307,21.0,386.75,14.67
41.5292,0.0,18.1,0.0,0.693,5.531,85.4,1.6074,24,666,20.2,329.46,27.38
0.1396,0.0,8.56,0.0,0.52,6.167,90.0,2.421,5,384,20.9,392.69,12.33
0.01501,80.0,2.01,0.0,0.435,6.635,29.7,8.344,4,280,17.0,390.94,5.99
0.37578,0.0,10.59,1.0,0.489,5.404,88.6,3.665,4,277,18.6,395.24,23.98
11.0874,0.0,18.1,0.0,0.718,6.411,100.0,1.8589,24,666,20.2,318.75,15.02
0.26838,0.0,9.69,0.0,0.585,5.794,70.6,2.8927,6,391,19.2,396.9,14.1
2.01019,0.0,19.58,0.0,0.605,7.929,96.2,2.0459,5,403,14.7,369.3,3.7
11.5779,0.0,18.1,0.0,0.7,5.036,97.0,1.77,24,666,20.2,396.9,25.68
4.83567,0.0,18.1,0.0,0.583,5.905,53.2,3.1523,24,666,20.2,388.22,11.45
14.0507,0.0,18.1,0.0,0.597,6.657,100.0,1.5275,24,666,20.2,35.05,21.22
0.3692,0.0,9.9,0.0,0.544,6.567,87.3,3.6023,4,304,18.4,395.69,9.28
0.01951,17.5,1.38,0.0,0.4161,7.104,59.5,9.2229,3,216,18.6,393.24,8.05
0.14932,25.0,5.13,0.0,0.453,5.741,66.2,7.2254,8,284,19.7,395.11,13.15
